Datetime,User ID,Content ID,Content Type,Category,Reaction Type,Sentiment,Score
12/31/20 8:12 PM,4c731e48-0377-4d7d-b4c8-b2174b774ed8,636e6499-b670-4cd4-a829-2c4c9e07db2a,photo,soccer,indifferent,neutral,20
9/9/20 12:14 PM,4c731e48-0377-4d7d-b4c8-b2174b774ed8,636e6499-b670-4cd4-a829-2c4c9e07db2a,photo,soccer,heart,positive,60
4/10/21 1:32 AM,4c731e48-0377-4d7d-b4c8-b2174b774ed8,636e6499-b670-4cd4-a829-2c4c9e07db2a,photo,soccer,super love,positive,75
10/25/20 11:46 AM,4c731e48-0377-4d7d-b4c8-b2174b774ed8,636e6499-b670-4cd4-a829-2c4c9e07db2a,photo,soccer,disgust,negative,0
8/21/20 11:58 AM,4c731e48-0377-4d7d-b4c8-b2174b774ed8,636e6499-b670-4cd4-a829-2c4c9e07db2a,photo,soccer,cherish,positive,70
2/18/21 3:40 AM,4c731e48-0377-4d7d-b4c8-b2174b774ed8,636e6499-b670-4cd4-a829-2c4c9e07db2a,photo,soccer,worried,negative,12
9/4/20 5:04 PM,4c731e48-0377-4d7d-b4c8-b2174b774ed8,636e6499-b670-4cd4-a829-2c4c9e07db2a,photo,soccer,intrigued,positive,45
6/20/20 9:24 AM,4c731e48-0377-4d7d-b4c8-b2174b774ed8,636e6499-b670-4cd4-a829-2c4c9e07db2a,photo,soccer,like,positive,50
1/7/21 12:59 PM,4c731e48-0377-4d7d-b4c8-b2174b774ed8,636e6499-b670-4cd4-a829-2c4c9e07db2a,photo,soccer,dislike,negative,10
7/23/20 12:40 AM,4c731e48-0377-4d7d-b4c8-b2174b774ed8,636e6499-b670-4cd4-a829-2c4c9e07db2a,photo,soccer,love,positive,65
8/16/20 7:01 AM,4c731e48-0377-4d7d-b4c8-b2174b774ed8,4b582733-141e-488f-8d02-3c4b149815a5,photo,fitness,super love,positive,75
1/3/21 1:25 AM,4c731e48-0377-4d7d-b4c8-b2174b774ed8,4b582733-141e-488f-8d02-3c4b149815a5,photo,fitness,disgust,negative,0
2/19/21 10:47 PM,4c731e48-0377-4d7d-b4c8-b2174b774ed8,4b582733-141e-488f-8d02-3c4b149815a5,photo,fitness,want,positive,70
1/27/21 12:02 PM,4c731e48-0377-4d7d-b4c8-b2174b774ed8,4b582733-141e-488f-8d02-3c4b149815a5,photo,fitness,like,positive,50
3/30/21 4:25 AM,4c731e48-0377-4d7d-b4c8-b2174b774ed8,4b582733-141e-488f-8d02-3c4b149815a5,photo,fitness,scared,negative,15
6/26/20 2:56 AM,4c731e48-0377-4d7d-b4c8-b2174b774ed8,4b582733-141e-488f-8d02-3c4b149815a5,photo,fitness,like,positive,50
